Country,State,Year,Month,Name Of The Fertilizer Used,"Required Fertilizer Quantity (UOM:MT(MetricTonne)), Scaling Factor:1","Available Fertilizer Quantity (UOM:MT(MetricTonne)), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,1000.00
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,0.00
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2016","December, 2016",Single super Phosphate,0.00,0.00
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,0.00
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,0.00
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,500.00
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,15740.15
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,20792.55
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",Single super Phosphate,0.00,0.00
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,0.00
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,12990.30
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,59405.46
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,0.00
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,0.00
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",Single super Phosphate,0.00,0.00
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,0.00
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,0.00
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,0.00
India,Assam,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,8265.75
India,Assam,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Assam,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,6425.65
India,Assam,"Financial Year (Apr - Mar), 2016","December, 2016",Single super Phosphate,0.00,0.00
India,Assam,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,0.00
India,Assam,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,6447.80
India,Assam,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,5067.40
India,Bihar,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,40314.30
India,Bihar,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Bihar,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,28151.90
India,Bihar,"Financial Year (Apr - Mar), 2016","December, 2016",Single super Phosphate,0.00,0.00
India,Bihar,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,7673.75
India,Bihar,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,11647.35
India,Bihar,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,62458.85
India,Chandigarh,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,0.00
India,Chandigarh,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Chandigarh,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,0.00
